 20863   G:   (a) Mel 20.581; @aPer Cluster.
 21181   G:   (a) Mel 20.735; @aPer Cluster.
 21223   S:   (a) Metallic-line star also classified
 21223   S:   (b) A5m, A7-F0.
 21238   G:   (a) Mel 20.747.
 21242   S:   (a) G5IV/V+K0IV.
 21242   Var: (a) UX Ari.  RS CVn type, 6.37-6.49V,
 21242   Var: (b) 6.43791d.  No eclipses observed.  H@a
 21242   Var: (c) profile varies.  Period of light equals
 21242   Var: (d) period of orbital motion.  Light variations
 21242   Var: (e) not caused by eclipses.  Form of light
 21242   Var: (f) curve varies.  Amplitude varies.
 21242   SB:  (a) The later-type component is the more
 21242   SB:  (b) massive.  Not known to be eclipsing
 21242   SB:  (c) but probably RS CVn type.  6.4379d,
 21242   SB:  (d) K$1 66.7k/s, K$2 59.4k/s, V$0
 21242   SB:  (e) +26.5k/s, m$1sin3i 0.631, m$2sin3i
 21242   SB:  (f) 0.709, a$1sini 5.90, a$2sini 5.26.
 21483   C:   (a) Published V range from 6.95 to 7.07.
 21540   G:   (a) Mel 20.903; @aPer Cluster.
 21641   D:   (a) PM of component B, +.020",+.018".  Optical?
 21641   G:   (a) Mel 20.955; @aPer Cluster.
 21672   G:   (a) @aPer Cluster.  Mel 20.965.
 21940   S:   (a) Metallic-line star also classified
 21940   S:   (b) A2m, A5-A8.
 22136   Var: (a) NSV 1197.  Amp. 0.03V.
 22136   RV:  (a) +10.7, -1.5, +2k/s.
 22136   G:   (a) Mel 20.1153; @aPer Cluster.
 22374   N:   (a) 9 Tau.
 22374   C:   (a) (B-V), +0.10, +0.16.
 22374   Var: (a) V486 Tau.  @aCV, 6.65-6.78V, 10.61d.
 22399   D:   (a) ADS 2650BC, 8.20V, +0.83(B-V),
 22399   D:   (b) +0.40(U-B) at 46", 69~.
 22578   G:   (a) Mel 22.5004.  TS 23.  Member Pleiades
 22578   G:   (b) cluster.  Reflection nebula IC 336.
 22614   D:   (a) Reported double in 1841 but probably
 22614   D:   (b) single star.
 22614   G:   (a) Mel 22.5005.  Pleiades cluster member, TS 25.
 22918   G:   (a) Near HII 668.
 22989   D:   (a) Component B, 8.9 F5 is CPD -60~261 =
 22989   D:   (b) HD 22960.  CPM.
 23410   Var: (a) NSV 1280, ADS 2748A.  Is:, 6.5-7.3p.
 23410   SB:  (a) Only K-line found double; it yields
 23410   SB:  (b) elements 7.1538d, V$0 -23k/s, e
 23410   SB:  (c) 0.631, K$1 86.2k/s, K$2 144:k/s,
 23410   SB:  (d) a$1sini 6.58, a$2sini 12.3.  m$1sin3i
 23410   SB:  (e) 2.66, m$2sin3i 1.59.
 23410   D:   (a) ADS 2748A.  B, 11v.  A is occultation
 23410   D:   (b) double, 8.5,9.1v, sep. 0.001".
 23410   G:   (a) Mel 22.801.  Pleiades Cluster member, H 801.
 23456   S:   (a) Also classified F6V.
 23478   G:   (a) Perseus II.
 23484   S:   (a) Ultraviolet deficient.
 23568   RV:  (a) Values range from -19 to +17k/s.
 23568   D:   (a) Occultation sep. 0.299".  Unresolved
 23568   D:   (b) by speckle interferometry 1975-6.
 23568   G:   (a) Mel 22.1234.  Pleiades Cluster member.
 23629   N:   (a) @hTauB, 24 Tau.
 23629   C:   (a) V also given as 6.83.  HD mag. 8.1 in  error.
 23629   S:   (a) Also classified B0IV.  Companion  F0III.
 23629   D:   (a) Component A is HD 23630 = HR 1165, an
 23629   D:   (b) occultation binary and SB.  Occultation
 23629   D:   (c) binary 7.1,8.2v, sep. 0.0016", 205~.
 23629   D:   (d) Unresolved by speckle interferometry in 1976.
 23629   R:   (a) Diam. ".0104 by occultation.
 23629   G:   (a) Mel 22.1375.  Pleiades Cluster.
 23632   RV:  (a) Values range from -24 to +25k/s.
 23632   G:   (a) Mel 22.1380.  Pleiades Cluster member.
 23642   S:   (a) AoVpSi+A5m.
